SUST.;ELEMENTOS;ACOES;PADRAO
3;7;7;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;4;4;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA)
3;5;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA) (ANTEROPOSTERIOR DIREITA)
3;6;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;7;7;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;5;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA)
3;6;7;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
3;5;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA) (GOLA ESQUERDA E MANGA DIREITA)
3;6;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA) (GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
3;4;4;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (GOLA ESQUERDA E MANGA DIREITA)
3;5;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
3;5;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (GOLA ESQUERDA E MANGA DIREITA)
3;6;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
3;3;4;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, POSI플O DEFENSIVA)
3;4;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, POSI플O DEFENSIVA) (ANTEROPOSTERIOR DIREITA)
3;5;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, POSI플O DEFENSIVA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;6;7;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, POSI플O DEFENSIVA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;7;8;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, POSI플O DEFENSIVA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;4;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, POSI플O DEFENSIVA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA)
3;5;7;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, POSI플O DEFENSIVA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
3;4;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, POSI플O DEFENSIVA) (TENTATIVA DE PEGADA)
3;5;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, POSI플O DEFENSIVA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA)
3;6;7;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, POSI플O DEFENSIVA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;7;8;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, POSI플O DEFENSIVA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;4;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, POSI플O DEFENSIVA) (GOLA ESQUERDA E MANGA DIREITA)
3;5;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, POSI플O DEFENSIVA) (GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
3;3;4;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA)
3;4;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
3;5;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;6;7;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;7;8;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;4;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA)
3;5;7;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
3;4;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA)
3;5;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA)
3;6;7;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;7;8;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;4;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA) (GOLA ESQUERDA E MANGA DIREITA)
3;5;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
3;3;3;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA)
3;4;4;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA)
3;5;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;6;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;4;4;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA)
3;5;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA)
3;6;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;3;4;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA)
3;4;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
3;5;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;6;7;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;4;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA)
3;5;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA)
3;6;7;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (TENTATIVA DE PEGADA, GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;3;3;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA)
3;4;4;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA) (ANTEROPOSTERIOR DIREITA)
3;5;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;6;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;7;7;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;4;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA)
3;5;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
3;4;4;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA) (TENTATIVA DE PEGADA)
3;5;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA)
3;6;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;7;7;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;4;4;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA) (GOLA ESQUERDA E MANGA DIREITA)
3;5;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA) (GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
3;3;4;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA, GOLA ESQUERDA E MANGA DIREITA)
3;4;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
3;5;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;6;7;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;7;8;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;4;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA)
3;5;7;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
3;4;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA, GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA)
3;5;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA, GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA)
3;6;7;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA, GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;7;8;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA, GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;4;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA, GOLA ESQUERDA E MANGA DIREITA) (GOLA ESQUERDA E MANGA DIREITA)
3;5;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (POSI플O DEFENSIVA, GOLA ESQUERDA E MANGA DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
3;3;3;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (GOLA ESQUERDA E MANGA DIREITA)
3;4;4;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
3;5;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;6;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;7;7;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;4;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA)
3;5;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA, GOLA ESQUERDA E MANGA DIREITA) (ANTEROPOSTERIOR DIREITA)
3;4;4;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA)
3;5;5;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA)
3;6;6;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;7;7;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (TENTATIVA DE PEGADA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA)
3;4;4;(ANTEROPOSTERIOR DIREITA) (ANTEROPOSTERIOR DIREITA) (GOLA ESQUERDA E MANGA DIREITA) (GOLA ESQUERDA E MANGA DIREITA)
